company_id,description,formatted_experience_level,formatted_work_type,industries,job_function,job_id,location,title,work_type
1584738,"Company Description

SmartRecruiters is a values-driven, global-minded, and well-funded tech employer on a mission to connect people to jobs at scale. As a global leader in enterprise recruitment software, SmartRecruiters offers a cloud-based global Hiring Success platform that allows teams to attract, select, and hire the best talent. 4,000 companies worldwide rely on SmartRecruiters to achieve hiring success—including brands like Bosch, LinkedIn, Skechers, and Visa—using recruitment marketing, CRM, AI, ATS, and a marketplace of 600+ connected vendors all within one scalable platform.

SmartRecruiters was recognized by Forbes as one of the Best Employers in 2020. We are proud to offer a collaborative, diverse, and remote-friendly work environment, as well as competitive salaries and generous equity. We believe in promotion from within, so high performance can lead to upward mobility. Needless to say, we make sure you’re taken care of. Our inclusive office environment welcomes and respects all.



We are currently in search of an Events Manager who will be responsible for planning, executing, and evaluating our events to drive business objectives and enhance brand visibility. The ideal candidate for this position will have a proven track record of successfully managing various events, including conferences, trade shows, and internal events. To excel in this role, the individual will need to be a strategic thinker who can effectively leverage data insights to inform decision-making, optimize available resources, and demonstrate measurable ROI.

What you'll deliver:











We are looking for an Events Manager at SmartRecruiters who can create exceptional event experiences and deliver measurable business results. We encourage you to apply for this position if you are passionate about these areas. You will be a part of a dynamic team and play a crucial role in shaping the future of our events program.



SmartRecruiters strives to offer equitable and engaging compensation to our employees across the globe as we always seek to attract, motivate, and retain the right talent. We utilize a data-driven approach in order to remove biases in our decisions. The pay range for this role in the US is $100,000 - $130,000. Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to skill set, depth of experience, and certifications. The listed pay range reflects the available annual salary budgeted for a new hire into this role. Employee salaries may extend above or below the listed range. Depending on level and location of hire, the role may be determined to be Exempt or Salaried Non-Exempt.",Associate,Full-time,"Technology, Information and Internet and Software Development",Strategy/Planning,3878432283,United States,Events Manager,FULL-TIME
101701751,"Job Title: Remote Travel Data Entry Specialist

Company: Vegas Venture Planners

Location: Remote

Vegas Venture Planners is a premier travel agency specializing in crafting unforgettable experiences for clients in Las Vegas and beyond. As we expand, we're seeking a Remote Travel Data Entry Specialist to join our team, ensuring seamless coordination of travel arrangements.

As a Remote Travel Data Entry Specialist, you'll play a vital role in inputting and updating travel itineraries, bookings, and client details accurately and efficiently. Your attention to detail will uphold our reputation for excellence in the industry.













Powered by JazzHR

VJ0JyeibkM",Entry level,Full-time,Internet Publishing,Administrative,3878442071,"Venture Planners Chicago, IL",Data Entry Clerk - Remote,FULL-TIME
22615,"The Neonatal ICU at Huntsville Hospital for Women and Children is part of the largest delivering hospital in the state of Alabama. As the only Level III NICU in North Alabama, our unit is designated by the state as the Regional Referral Center for NICU care. This means that infants born in hospitals throughout our region are transported here to receive critical, lifesaving medical care. We are a 55 bed licensed unit, with an open bay layout with 3 different alcoves, we also have a Kids Care Transport Team, and the only state-certified infant nutrition lab in North Alabama where many of our babies' feedings are carefully and securely prepared by specially trained staff.. We collaborate with many disciplines including Respiratory therapist, family support liaison, registered dietitians, therapy services (speech, physical, occupational, and music), trained child life specialist, pharmacy, and lactation nurses.

The Neonatal RN is skilled in providing critical care to premature and sick newborns. In addition to providing around-the-clock care to these patients, NICU RNs offer support to the parents, requiring effective communication skills regarding the plan of care and scope of treatment of the patient. The NICU RN will work as a team member with providers and ancillary staff. Their primary responsibility is to ensure that a newborns critical care treatment is secure. The RN maintains established standards of care, policies, objective, and goals in administering professional nursing care to all patients. The RN identifies patient needs and priorities for care through assessment. The RN plans and delegates care based on patient needs. The RN evaluates the patient’s response to care and the attainment of or progress toward expected outcomes. The RN is accountable for outcomes of patient care delivered during the assigned shift. RN must have excellent communication skills with the ability to work independently in a fast paced environment, requiring prioritizing and changing tasks frequently.



Graduate of Accredited School of Nursing with current Alabama licensure.

Experience preferred; new graduates accepted.

BLS required before the conclusion of the orientation period.

New graduates who precepted in Neonatal ICU preferred. NRP required within 6 month orientation period.



Huntsville Hospital was recently named. With 971 beds, a specialized Orthopedic & Spine Tower, a Level III Regional Neonatal ICU, and the largest Emergency Department and Level 1 Trauma Center in the state with our own specialized Red Shirt Trauma Program, there are many opportunities to apply your knowledge and skills. We are a certified Primary Stroke Center and named ""One of the Top 100 Hospitals in the Nation with Great Heart Programs."" From six cath labs and four EP labs to multiple medical and step-down units, you can continually grow your skillset! We offer a training center on campus for continuing education, Shared Governance Program, Clinical Ladder for professional development, The Daisy Award, and if you are a new grad, a Nurse Residency Program to help you transition from student to professional nurse. We care about you and your well-being by offering an excellent benefits package, childcare, health and wellness programs, an onsite employee pharmacy, a free health clinic, tuition assistance, and much more. We are committed to creating a diverse environment and proud to be an equal opportunity employer. Ask us about incentives and additional opportunities.



We are committed to providing competitive benefits. Our benefits package for eligible employees includes medical, dental, vision, life insurance, flexible spending; short term and long term disability; several retirement account options with 401K organization match; nurse residency program; tuition assistance; student loan reimbursement; On-site training and education opportunities; Employee Discounts to phone providers, local restaurants, tickets to shows, apartment application and much more!",Mid-Senior level,Other,Hospitals and Health Care,Health Care Provider,3878285098,"Hospital Huntsville, AL",RN Staff-Neonatal ICU-PT-3rd Shift,OTHER
101701751,"Job Title: Administrative Assistant/Customer Service

Company: Vegas Venture Planners

Location: Remote

Vegas Venture Planners is a leading travel agency dedicated to curating unforgettable experiences for our clients in Las Vegas and beyond. From luxury accommodations to thrilling excursions, we strive to provide exceptional service and create lasting memories. As we continue to grow, we are seeking a passionate Remote Travel Customer Service Representative to join our team and assist our clients with their travel needs.

As a Remote Travel Customer Service Representative, you will be the primary point of contact for our clients, providing them with outstanding service and support throughout their travel experience. Whether assisting with booking inquiries, resolving issues, or offering recommendations, you will play a crucial role in ensuring our clients have a seamless and memorable trip.













If you are customer-focused and passionate about travel, we want to hear from you! Please submit your resume and a cover letter outlining your relevant experience and why you are interested in joining Vegas Venture Planners as a Remote Travel Customer Service Representative.

Powered by JazzHR

wE6n12Hdrm",Entry level,Full-time,Internet Publishing,Administrative,3878438366,Venture Planners United States,Administrative Assistant/Customer Service,FULL-TIME
3055,"Company Description

Discover the essence of Maui at Fairmont Kea Lani, Hawai‘i’s only all-suite and villa luxury resort. Nestled on the pristine white sands of Wailea’s Polo Beach, this award-winning oceanfront paradise defines quintessential Hawaiian luxury with a state-of-the-art spa, island inspired cuisine and authentic cultural experiences.

From full-moon staff hikes and beach clean-ups to appreciation luncheons and birthday holidays, our team provides endless opportunities to learn and grow in both your personal and professional development. Live and work in a place you love!







There is no room for the ordinary in anything we do. As the you will be a key player in the Revenue Management Committee. Your active role in the in the hotel's strategic decision-making process along with your analysis and recommendations will act as the cornerstones in the decision-making process. Your direct engagement with the hotel’s senior leadership team will pave the way to a strong career path for you to progress in the Revenue Management world.





















































All Candidates must be in possession of identification proving authorization to work in the United States as defined in the Immigration Reform and Control Act of 1986 (IRCA). This Position does not offer sponsorship of Work Visas. Resumes submitted that cannot fulfill these requirements will not be considered.



We are an inclusive company and our ambition is to attract, recruit and promote diverse talent.

: Visit our website to learn more about living and working for Fairmont Hawai’i. www.fairmonthawaiijobs.com



We are far more than a worldwide leader. We welcome you as you are and you can find a job and brand that matches your personality. We support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore Accor’s limitless possibilities.

Do what you love, care for the world, dare to challenge the status quo!",Associate,Full-time,Hospitality,Other,3878432792,"Wailea, HI",Revenue Analyst (Full-time),FULL-TIME
3055,"Company Description

Just east of the Pacific and slightly north of Expectation.

Welcome to Fairmont Grand Del Mar. An elegant tribute to classic Mediterranean estate, seamlessly fusing old-world charm with modern luxury. Here, an award-winning, Renaissance-inspired spa, critically acclaimed dining, exclusive boutique shopping and championship golf course.

Growth and advancement is not only available, it is actively encouraged. We promote a balanced life for our colleagues, continuously seeking new ways to improve our environment and to support our beautiful home of San Diego.



Salary: $80,000 - $90,000 Annual Salary



Reporting to the Director of Talent and Culture, responsibilities and essential job functions include but are not limited to the following:





The individual must possess the following knowledge, skills and abilities and be able to explain and demonstrate that he or she can perform the essential functions of the job, with or without reasonable accommodation, using some other combination of knowledge, skills, and abilities:



Knowledge of federal, state, and local law.



: Applicants must be legally eligible to work in the United States.

: We are an inclusive company and our ambition is to attract, recruit and promote diverse talent.

We are far more than a worldwide leader. We welcome you as you are and you can find a job and brand that matches your personality. We support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore Accor's limitless possibilities.

: At Fairmont Hotels & Resorts, we offer our guests the finest hospitality experience in each of our destinations. And we know that, to offer our guests the best, we first need to offer our employees the best. That's why you'll find exceptional work opportunities - throughout North America and the Caribbean, Europe and Africa, the Middle East and Asia Pacific - as well as industry-leading training, career development, recognition and rewards. Fairmont Hotel & Resorts is a celebrated collection of hotels that includes landmark locations like London's The Savoy, New York's The Plaza, and Shanghai's Fairmont Peace Hotel. Our teams are guided by values of Respect, Integrity, Teamwork and Empowerment; we employ the highest ethical and quality standards, treating all colleagues with fairness and dignity. A community and environmental leader, Fairmont is also regarded for its responsible tourism practices and award-winning Green Partnership program. An exciting future awaits!

Do what you love, care for the world, dare to challenge the status quo!",Mid-Senior level,Full-time,Hospitality,Human Resources,3878429927,"San Diego, CA",Assistant Director of Talent & Culture,FULL-TIME
2204084,"Employer Industry: Healthcare Services

Why Consider This Job Opportunity















#HealthcareServices #CareerOpportunity #RemoteWork #CompetitiveCompensation #CustomerService

At Talentify, we prioritize candidate privacy and champion equal-opportunity employment. Central to our mission is our partnership with companies that share this commitment. We aim to foster a fair, transparent, and secure hiring environment for all. If you encounter any employer not adhering to these principles, please bring it to our attention immediately.

Talentify is not the EOR (Employer of Record) for this position. Our role in this specific opportunity is to connect outstanding candidates with a top-tier employer.

Talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ATS.",Entry level,Full-time,Administrative and Support Services,Administrative,3878282133,United States,Administrative Assistant (work from home),FULL-TIME
18677238,"Italic is creating a world of luxury without labels. We believe that luxury today is exclusionary and all about marketing that hurts its customers and manufacturers. Our mission is to create a new model that enables manufacturers to bypass the legacy luxury supply chain and deliver luxury goods with equivalent or better quality directly to consumers. Our customers come to rely on Italic for our quality, timeless design, and radical value.

Italic is seeking an experienced Head of Product to lead our product development, demand planning, and buying cycles. The ideal candidate will bring a strong retail background, hands-on experience as a buyer or merchandiser, and a deep understanding of product lifecycle management from conception to launch. You will be responsible for overseeing the creation of new products that meet our customers' needs and expectations while also ensuring that our inventory aligns with demand forecasts and market trends.





























Joining Italic as the Head of Product offers a unique opportunity to shape the future of our product offerings and significantly impact our growth and success in the retail market. If you are a seasoned retail professional with a passion for product excellence and a track record of driving results, we invite you to apply.





Our culture focuses on performance, integrity, and longevity. We believe that the best brands are not grown through sheer force but rather through deliberate decision-making and persistent effort over a long period of time. We are committed to creating a workplace where talented individuals can thrive in building an enduring, beloved brand that we all take pride in.



We value the effort and work that goes into achieving results rather than just the end result. We believe that investing in our people and processes will lead to better outcomes while also creating a more sustainable and enjoyable environment.



Our company has a flat hierarchy and values the input and ideas of all team members. We believe that everyone has the potential to make a significant contribution to the success of the company.



As a small team, all employees are expected to take ownership in their work. Some might move faster while others are fine with a slower pace. Those who seek to move faster in their career will be able to do so based solely on merit, contribution, and performance.",Director,Full-time,Retail,Product Management and Marketing,3878276614,"San Diego, CA",Head of Product,FULL-TIME
71904349,"Description:

The QC Analyst, Cell Based Immunology will:









Actalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.



At Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:



The company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.

If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Mid-Senior level,Contract,Business Consulting and Services,"Research, Analyst, and Information Technology",3878421118,"Philadelphia, PA",Molecular Biologist,CONTRACT
3055,"Company Description

Discover the essence of Maui at Fairmont Kea Lani, Hawai‘i’s only all-suite and villa luxury resort. Nestled on the pristine white sands of Wailea’s Polo Beach, this award-winning oceanfront paradise defines quintessential Hawaiian luxury with a state-of-the-art spa, island inspired cuisine and authentic cultural experiences.

From full-moon staff hikes and beach clean-ups to appreciation luncheons and birthday holidays, our team provides endless opportunities to learn and grow in both your personal and professional development. Live and work in a place you love!







The Regional Director of Finance & Business Support (RDOF) provides strategic leadership, functional guidance and valuable insights to Operations Leaders, Partners, Executive Committees and Department Heads for optimal business decisions for hotels within the region; Interacts with ownership group, asset managers, hotel legal counsel, insurance companies, tax consultants, auditors, commercial and government banks to effectively control the assets of the business. The role is an interdependent part of the core regional team (Fairmont Kea Lani, Fairmont Orchid and Fairmont Olympic). The Regional Director of Finance & Business Support will be a highly motivated team player with strong accounting, communication, business presentation and analytical skills as well as a strong multi-unit business and finance leader.

Salary Range: $190,000 - $240,000





























All Candidates must be in possession of identification proving authorization to work in the United States as defined in the Immigration Reform and Control Act of 1986 (IRCA). This Position does not offer sponsorship of Work Visas. Resumes submitted that cannot fulfill these requirements will not be considered.

Applicants must be legally eligible to work the United States



We are an inclusive company and our ambition is to attract, recruit and promote diverse talent.

: Visit our website to learn more about living and working for Fairmont Hawai’i. www.fairmonthawaiijobs.com



We are far more than a worldwide leader. We welcome you as you are and you can find a job and brand that matches your personality. We support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore Accor’s limitless possibilities.

Do what you love, care for the world, dare to challenge the status quo!",Executive,Full-time,Hospitality,Management,3878279689,"Wailea, HI",Regional Director of Finance & Business Support,FULL-TIME
